AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,TraitID_22,TraitID_42,Notes
Rehia nervata,Rehia,Poaceae,Poales,Liliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Reitzia smithii,Reitzia,Poaceae,Poales,Liliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Relchela panicoides,Relchela,Poaceae,Poales,Liliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Reynaudia filiformis,Reynaudia,Poaceae,Poales,Liliopsida,Tracheophyta,C4,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhamnidium elaeocarpum,Rhamnidium,Rhamnaceae,Rosales,Magnoliopsida,Tracheophyta,,Tree,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhamnidium molle,Rhamnidium,Rhamnaceae,Rosales,Magnoliopsida,Tracheophyta,,Tree,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhanterium suaveolens,Rhanterium,Asteraceae,Asterales,Magnoliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhaphidophyton regelii,Rhaphidophyton,Amaranthaceae,Caryophyllales,Magnoliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhaphiodon echinus,Rhaphiodon,Lamiaceae,Lamiales,Magnoliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rheochloa scabriflora,Rheochloa,Poaceae,Poales,Liliopsida,Tracheophyta,C4,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhipidocladum pittieri,Rhipidocladum,Poaceae,Poales,Liliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
